event_id,interaction_key,message_id,conversation_id,reset_session_id,user_name,user_key,feedback_rating,feedback_comment,feedback_at_utc,feedback_at_jst,source_file
20260519T071352-20260519T182604.csv#73,a:13A1wxb6vrCt4Foe28ITVAk6tpihTZByQurqV_IQIX2LrVkEdzURNHj2iS354nRrWe3J6AFlsui7oeXnrqe7XDuhyeaBdDvOzyz9XedOSPYJJV7pYnHNAJ-OK3zcDP0fY::1776773475198,1776773475198,a:13A1wxb6vrCt4Foe28ITVAk6tpihTZByQurqV_IQIX2LrVkEdzURNHj2iS354nRrWe3J6AFlsui7oeXnrqe7XDuhyeaBdDvOzyz9XedOSPYJJV7pYnHNAJ-OK3zcDP0fY,a:13A1wxb6vrCt4Foe28ITVAk6tpihTZByQurqV_IQIX2LrVkEdzURNHj2iS354nRrWe3J6AFlsui7oeXnrqe7XDuhyeaBdDvOzyz9XedOSPYJJV7pYnHNAJ-OK3zcDP0fY::R001,Youko Iwamoto (岩本 洋子),58233f0b09bf1e91,good,,2026-05-19T09:20:35+00:00,2026-05-19T18:20:35+09:00,20260519T071352-20260519T182604.csv
20260527T080530-20260527T204106.csv#87,a:16kJo4z4GFKet3ru9sMoR97WQbrEiZYi2gAEf7oBotwl__xWfvz24N-QKIr-mN3ttXzNk0e_74R2A_ga3jh-1IyF4_UEit8iTfKQ38pTmpO82As8XindwfPwUJuz4RezW::1779853025118,1779853025118,a:16kJo4z4GFKet3ru9sMoR97WQbrEiZYi2gAEf7oBotwl__xWfvz24N-QKIr-mN3ttXzNk0e_74R2A_ga3jh-1IyF4_UEit8iTfKQ38pTmpO82As8XindwfPwUJuz4RezW,a:16kJo4z4GFKet3ru9sMoR97WQbrEiZYi2gAEf7oBotwl__xWfvz24N-QKIr-mN3ttXzNk0e_74R2A_ga3jh-1IyF4_UEit8iTfKQ38pTmpO82As8XindwfPwUJuz4RezW::R001,Takurou Fujimura (藤村 卓朗),53cf6d338f0d6dbc,good,,2026-05-27T03:38:08+00:00,2026-05-27T12:38:08+09:00,20260527T080530-20260527T204106.csv
20260527T080530-20260527T204106.csv#97,a:1qtqj_NVZHkzZ4fVgqEZzCafjyAA2jB8GIhEyW4fXSDD9qZzEqE4Ynh2yuNvFrAErqF_uYZRXwO_DL_sACePi1OxzcXaKbcqlnvBqpLXcvnrpBkIe8viyf4G73GyPRZ21::1779853233197,1779853233197,a:1qtqj_NVZHkzZ4fVgqEZzCafjyAA2jB8GIhEyW4fXSDD9qZzEqE4Ynh2yuNvFrAErqF_uYZRXwO_DL_sACePi1OxzcXaKbcqlnvBqpLXcvnrpBkIe8viyf4G73GyPRZ21,a:1qtqj_NVZHkzZ4fVgqEZzCafjyAA2jB8GIhEyW4fXSDD9qZzEqE4Ynh2yuNvFrAErqF_uYZRXwO_DL_sACePi1OxzcXaKbcqlnvBqpLXcvnrpBkIe8viyf4G73GyPRZ21::R001,Shino Ebina (蝦名 信乃),6329f8b01949ae1d,bad,,2026-05-27T03:42:46+00:00,2026-05-27T12:42:46+09:00,20260527T080530-20260527T204106.csv
20260529T071734-20260529T211624.csv#176,a:16kJo4z4GFKet3ru9sMoR97WQbrEiZYi2gAEf7oBotwl__xWfvz24N-QKIr-mN3ttXzNk0e_74R2A_ga3jh-1IyF4_UEit8iTfKQ38pTmpO82As8XindwfPwUJuz4RezW::1780036067355,1780036067355,a:16kJo4z4GFKet3ru9sMoR97WQbrEiZYi2gAEf7oBotwl__xWfvz24N-QKIr-mN3ttXzNk0e_74R2A_ga3jh-1IyF4_UEit8iTfKQ38pTmpO82As8XindwfPwUJuz4RezW,a:16kJo4z4GFKet3ru9sMoR97WQbrEiZYi2gAEf7oBotwl__xWfvz24N-QKIr-mN3ttXzNk0e_74R2A_ga3jh-1IyF4_UEit8iTfKQ38pTmpO82As8XindwfPwUJuz4RezW::R001,Takurou Fujimura (藤村 卓朗),53cf6d338f0d6dbc,bad,"2025年度は
夏季賞与（2025年）：6月25日
冬季賞与（2025年）：12月10日
でした。",2026-05-29T06:35:34+00:00,2026-05-29T15:35:34+09:00,20260529T071734-20260529T211624.csv
20260604T091826-20260604T212400.csv#24,a:1YB_ltzPfAtoRRudzq0r67bPqs46y8BTLwuU9h503ILeFUg8FfZbU4B1g8rVn_gYeXcEiClic2K0tHb1yxlZeNF8tYMwV2m340kPEqEG1C1sY1pnt16m3KNAk57_wGWSd::1780534294540,1780534294540,a:1YB_ltzPfAtoRRudzq0r67bPqs46y8BTLwuU9h503ILeFUg8FfZbU4B1g8rVn_gYeXcEiClic2K0tHb1yxlZeNF8tYMwV2m340kPEqEG1C1sY1pnt16m3KNAk57_wGWSd,a:1YB_ltzPfAtoRRudzq0r67bPqs46y8BTLwuU9h503ILeFUg8FfZbU4B1g8rVn_gYeXcEiClic2K0tHb1yxlZeNF8tYMwV2m340kPEqEG1C1sY1pnt16m3KNAk57_wGWSd::R001,Hiroki Kimura (木村 紘樹),3ac38598bf8c9284,bad,,2026-06-04T00:51:56+00:00,2026-06-04T09:51:56+09:00,20260604T091826-20260604T212400.csv
